date_submitted,ideal_adoption_timeline,reason_for_adoption,specific_animal,adults_in_home,children_in_home,all_household_agree,allergies,home_owner,home_pet_policy,experience,budget_monthly,budget_emergency,home_alone_avg,home_alone_max,pet_kept,exercise,needs,return_pet,how_heard,outcome_trello_id,City,State,ZIP,animal_type
12/22/2018,today,myself,FALSE,1,0,"yes,a-surprise",no-allergies,family-member-or-friend,NA,"euthanized-a-pet,grew-up-with-pet,currently-have-pet",1e3,800,NA,NA,inside-only,"toy-mice,wand-toys,other-pets","nail-clip,scratching-post",none,NA,5c1e40462233c826998c91ed,PHILADELPHIA,PA,19150,cat
12/21/2018,next-few-weeks,"myself,my-kids",FALSE,1,2,yes,no-allergies,myself,NA,"lived-wit-previous-housemates-pets,currently-have-pet",100,3e3,NA,NA,"inside-only,leash-harness","wand-toys,other-pets,toy-mice","nail-clip,scratching-post",becomes-aggressive,NA,NA,HAVERTOWN,PA,19083,cat
12/21/2018,one-month-or-more,myself,TRUE,0,0,yes,no-allergies,company,yes,"grew-up-with-pet,lived-wit-previous-housemates-pets",75,200,8,8,inside-only,"toy-mice,wand-toys",scratching-post,"allergies-appear,becomes-aggressive,moving-too-far",email,NA,PHILADELPHIA,PA,19144,cat
12/21/2018,next-few-weeks,myself,FALSE,1,0,yes,no-allergies,company,yes,"euthanized-a-pet,grew-up-with-pet,currently-have-pet",300,1e3,NA,11,inside-only,"not-much,other-pets",scratching-post,none,NA,NA,PHILADELPHIA,PA,19115,cat
12/21/2018,today,myself,FALSE,2,1,yes,no-allergies,myself,NA,given-a-pet-to-a-shelter,200,1e3,NA,1,inside-only,"toy-mice,other-pets",scratching-post,none,NA,NA,PHILADELPHIA,PA,19152,cat
12/21/2018,one-month-or-more,myself,FALSE,0,0,yes,no-allergies,company,yes,"lived-wit-previous-housemates-pets,grew-up-with-pet",200,1e3,8,8,inside-only,not-much,scratching-post,none,NA,NA,PHILADELPHIA,PA,19127,cat
12/20/2018,one-month-or-more,myself,TRUE,1,0,yes,no-allergies,myself,NA,"euthanized-a-pet,grew-up-with-pet,currently-have-pet,lived-wit-previous-housemates-pets",100,1200,5,9,"inside-only,inside-outside","toy-mice,wand-toys,other-pets",scratching-post,none,"other,event",NA,PHILADELPHIA,PA,19125,cat
12/20/2018,today,other,FALSE,1,2,"a-surprise,yes",no-allergies,company,yes,"grew-up-with-pet,currently-have-pet",100,500,NA,2,inside-only,toy-mice,"scratching-post,not-sure",none,NA,NA,PHILADELPHIA,PA,19152,cat
12/20/2018,today,"gift,myself",FALSE,1,0,"yes,a-surprise",no-allergies,company,havent-asked,"grew-up-with-pet,lived-wit-previous-housemates-pets",500,1e3,10,11,inside-only,"toy-mice,wand-toys","scratching-post,not-sure,other",becomes-aggressive,NA,NA,PHILADELPHIA,PA,19145,cat
12/20/2018,today,myself,TRUE,1,0,"a-surprise,yes",no-allergies,myself,NA,"grew-up-with-pet,lived-wit-previous-housemates-pets",1e3,1e3,2,5,"inside-only,inside-with-yard-access","toy-mice,wand-toys","scratching-post,declaw",becomes-aggressive,website,NA,PHILADELPHIA,PA,19144,cat
12/20/2018,one-month-or-more,myself,TRUE,0,0,yes,no-allergies,company,yes,currently-have-pet,250,300,8,NA,inside-only,"toy-mice,other-pets,wand-toys","scratching-post,nail-clip",becomes-aggressive,website,NA,WILMINGTON,DE,19806,cat
12/20/2018,one-month-or-more,myself,TRUE,0,0,yes,no-allergies,company,havent-asked,"euthanized-a-pet,grew-up-with-pet,lived-wit-previous-housemates-pets,pet-died-in-care",300,700,7,NA,inside-only,"toy-mice,wand-toys",scratching-post,none,"website,insta",NA,PHILADELPHIA,PA,19143,cat
12/20/2018,one-month-or-more,myself,TRUE,0,0,yes,mildly-allergic,myself,NA,lived-wit-previous-housemates-pets,50,500,10,NA,"inside-only,leash-harness",not-much,not-sure,"allergies-appear,litter-box-issues",website,NA,PHILADELPHIA,PA,19119,cat
12/20/2018,one-month-or-more,"myself,gift",TRUE,2,0,yes,mildly-allergic,company,yes,"euthanized-a-pet,grew-up-with-pet,lived-wit-previous-housemates-pets",100,1e3,NA,6,inside-only,"toy-mice,wand-toys","nail-clip,scratching-post,not-sure",none,website,NA,PHILADELPHIA,PA,19104,cat
12/20/2018,today,myself,TRUE,2,0,yes,no-allergies,company,yes,"grew-up-with-pet,lived-wit-previous-housemates-pets",1e3,1500,6,8,inside-only,"toy-mice,wand-toys,other-pets","scratching-post,nail-clip",none,other,NA,PHILADELPHIA,PA,19125,cat
12/20/2018,today,"myself,mouser",TRUE,1,0,yes,mildly-allergic,family-member-or-friend,NA,given-pet-to-another,100,500,6,6,inside-only,"toy-mice,other-pets,wand-toys","scratching-post,not-sure",becomes-aggressive,website,NA,PHILADELPHIA,PA,19147,cat
12/19/2018,today,myself,FALSE,3,1,yes,mildly-allergic,family-member-or-friend,NA,"grew-up-with-pet,pet-died-in-care,pet-ran-away",200,600,2,5,inside-only,"toy-mice,wand-toys","nail-clip,scratching-post",none,NA,5a13699de5c0929939e7a380,PHILADELPHIA,PA,19145,cat
12/19/2018,today,myself,TRUE,0,0,yes,no-allergies,myself,NA,"euthanized-a-pet,lived-wit-previous-housemates-pets",50,100,NA,3,inside-only,"other-pets,toy-mice","nail-clip,scratching-post,other",none,NA,NA,PHILADELPHIA,PA,19138,cat
12/19/2018,today,"myself,my-kids",FALSE,4,4,a-surprise,no-allergies,family-member-or-friend,NA,lived-wit-previous-housemates-pets,200,1e3,NA,NA,"inside-only,inside-with-yard-access",toy-mice,"scratching-post,nail-clip",none,NA,NA,PHILADELPHIA,PA,19139,cat
12/19/2018,today,myself,TRUE,0,2,yes,no-allergies,myself,NA,grew-up-with-pet,300,1e3,7,7,inside-only,toy-mice,not-sure,allergies-appear,NA,NA,MOUNT HOLLY,NJ,08060,cat
12/19/2018,today,my-kids,FALSE,2,2,yes,no-allergies,myself,NA,grew-up-with-pet,150,500,NA,4,inside-only,"toy-mice,wand-toys,other-pets",scratching-post,none,NA,NA,HATBORO,PA,19040,cat
12/19/2018,one-month-or-more,"myself,mouser",TRUE,1,0,yes,no-allergies,family-member-or-friend,NA,given-pet-to-another,110,1e3,8,12,inside-only,"wand-toys,toy-mice","nail-clip,scratching-post,other",none,NA,NA,PHILADELPHIA,PA,19144,cat
12/19/2018,next-few-weeks,myself,FALSE,0,0,yes,no-allergies,company,havent-asked,"euthanized-a-pet,grew-up-with-pet",250,1e3,8,8,inside-only,"toy-mice,wand-toys,other-pets","nail-clip,scratching-post",none,NA,NA,PHILADELPHIA,PA,19121,cat
